title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,,Houston,TX,77071,"$369,900","5 bds, 5.0 ba ,3459 sqft",Primary Properties LLC,https://www.zillow.com/homedetails/10827-Braesridge-Dr-Houston-TX-77071/28195665_zpid/
House for sale,,Houston,TX,77071,"$330,000","3 bds, 3.0 ba ,2439 sqft",Keller Williams Professionals,https://www.zillow.com/homedetails/8019-Burning-Hills-Dr-Houston-TX-77071/28086048_zpid/
Lot / Land for sale,,Houston,TX,77071,"$389,999","None bds, None ba ,None sqft",Fortune Investment Properties,https://www.zillow.com/homedetails/11639-S-Gessner-Rd-0-Houston-TX-77071/2079294476_zpid/
House for sale,,Houston,TX,77071,"$169,900","3 bds, 2.0 ba ,1383 sqft",Realty Kings Properties,https://www.zillow.com/homedetails/15327-E-Willowwind-Cir-Houston-TX-77071/28115601_zpid/
House for sale,,Houston,TX,77071,"$279,000","4 bds, 4.0 ba ,2606 sqft",Summit Realty,https://www.zillow.com/homedetails/8122-Braes-Meadow-Dr-Houston-TX-77071/28086028_zpid/
House for sale,,Houston,TX,77071,"$325,000","5 bds, 3.0 ba ,2441 sqft",Martha Turner Sotheby's,https://www.zillow.com/homedetails/7622-Braesview-Ln-Houston-TX-77071/28132962_zpid/
House for sale,,Houston,TX,77071,"$209,900","3 bds, 3.0 ba ,2208 sqft","CB & A, Realtors",https://www.zillow.com/homedetails/7811-La-Rochelle-Cir-Houston-TX-77071/28418099_zpid/
Townhouse for sale,,Houston,TX,77071,"$85,000","2 bds, 2.0 ba ,1236 sqft","KCN Properties, Inc.",https://www.zillow.com/homedetails/7828-W-Bellfort-St-7828-Houston-TX-77071/28289709_zpid/
House for sale,,Houston,TX,77071,"$198,000","3 bds, 2.0 ba ,1780 sqft",World Elite Realty,https://www.zillow.com/homedetails/7819-Rollingbrook-Dr-Houston-TX-77071/28179267_zpid/
House for sale,,Houston,TX,77071,"$229,900","3 bds, 3.0 ba ,2096 sqft",JPAR - The Sears Group,https://www.zillow.com/homedetails/12714-Laleu-Ln-Houston-TX-77071/28418419_zpid/
Townhouse for sale,,Houston,TX,77071,"$70,000","2 bds, 2.0 ba ,1120 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/8720-Victorian-Village-Dr-8720-Houston-TX-77071/28466834_zpid/
House for sale,,Houston,TX,77071,"$307,000","3 bds, 2.0 ba ,2172 sqft",Found Realty,https://www.zillow.com/homedetails/7726-Del-Rey-Ln-Houston-TX-77071/28132926_zpid/
House for sale,,Houston,TX,77071,"$279,000","4 bds, 4.0 ba ,3695 sqft",JPAR - The Sears Group,https://www.zillow.com/homedetails/8314-Fawn-Terrace-Dr-Houston-TX-77071/28411466_zpid/
House for sale,,Houston,TX,77071,"$211,000","4 bds, 3.0 ba ,3025 sqft",Keller Williams Realty -SW,https://www.zillow.com/homedetails/12303-Braesridge-Dr-Houston-TX-77071/28232528_zpid/
Townhouse for sale,,Houston,TX,77071,"$145,998","3 bds, 3.0 ba ,2324 sqft","Compass RE Texas, LLC",https://www.zillow.com/homedetails/7655-S-Braeswood-Blvd-APT-48-Houston-TX-77071/28225230_zpid/
House for sale,,Houston,TX,77071,"$149,350","3 bds, 2.0 ba ,1401 sqft",RE/MAX Fine Properties,https://www.zillow.com/homedetails/8515-Sandy-Glen-Ln-Houston-TX-77071/28331406_zpid/
House for sale,,Houston,TX,77071,"$495,000","4 bds, 3.0 ba ,3033 sqft",The Virtual Realty Group,https://www.zillow.com/homedetails/10830-Villa-Lea-Ln-Houston-TX-77071/28195221_zpid/
House for sale,,Houston,TX,77071,"$269,900","3 bds, 2.0 ba ,3115 sqft",RE/MAX Metro,https://www.zillow.com/homedetails/10919-Villa-Lea-Ln-Houston-TX-77071/28195119_zpid/
House for sale,,Houston,TX,77071,"$275,000","5 bds, 5.0 ba ,4359 sqft",Martha Turner Sotheby's,https://www.zillow.com/homedetails/7618-Claridge-Dr-Houston-TX-77071/84056450_zpid/
House for sale,,Houston,TX,77071,"$243,000","4 bds, 3.0 ba ,2810 sqft",Flat Fee Discount Realty,https://www.zillow.com/homedetails/8115-Twin-Hills-Dr-Houston-TX-77071/28086082_zpid/
House for sale,,Houston,TX,77071,"$174,000","3 bds, 2.0 ba ,1453 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/15403-W-Ritter-Cir-Houston-TX-77071/28110808_zpid/
House for sale,,Houston,TX,77071,"$250,000","4 bds, 2.0 ba ,2014 sqft",Walzel Properties,https://www.zillow.com/homedetails/12219-Brookvalley-Dr-Houston-TX-77071/28268993_zpid/
House for sale,,Houston,TX,77071,"$250,000","3 bds, 3.0 ba ,2310 sqft",Better Homes and Gardens Real Estate Gary Greene,https://www.zillow.com/homedetails/12506-Riva-Ridge-Ln-Houston-TX-77071/28273647_zpid/
House for sale,,Houston,TX,77071,"$269,000","3 bds, 3.0 ba ,2176 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/8415-Twin-Hills-Dr-Houston-TX-77071/28099482_zpid/
Lot / Land for sale,,Houston,TX,77071,"$235,000","0 bds, None ba ,24655 sqft",Equity Real Estate,https://www.zillow.com/homedetails/0-S-Gessner-Rd-Houston-TX-77071/2108032197_zpid/
Townhouse for sale,,Houston,TX,77071,"$57,999","3 bds, 2.0 ba ,1184 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/8645-Village-Of-Fondren-Dr-8645-Houston-TX-77071/28466803_zpid/
House for sale,,Houston,TX,77071,"$309,000","4 bds, 2.0 ba ,2104 sqft",Perry's Realty,https://www.zillow.com/homedetails/7722-Braesdale-Ln-Houston-TX-77071/28132940_zpid/
House for sale,,Houston,TX,77071,"$344,900","5 bds, 3.0 ba ,2850 sqft",Winhill Advisors - Kirby,https://www.zillow.com/homedetails/10014-Murray-Brook-Dr-Houston-TX-77071/28060717_zpid/
Townhouse for sale,,Houston,TX,77071,"$65,000","2 bds, 1.0 ba ,1120 sqft",First US Services & Channels,https://www.zillow.com/homedetails/8710-Victorian-Village-Dr-8710-Houston-TX-77071/28466829_zpid/
House for sale,,Houston,TX,77071,"$175,000","3 bds, 2.0 ba ,2133 sqft",RE/MAX Pearland,https://www.zillow.com/homedetails/12523-Kitty-Brook-Ln-Houston-TX-77071/28418282_zpid/
Townhouse for sale,,Houston,TX,77071,"$47,900","2 bds, 2.0 ba ,807 sqft",Crown Eagle Realty,https://www.zillow.com/homedetails/8100-Creekbend-Dr-APT-188-Houston-TX-77071/89650486_zpid/
Foreclosure,,Houston,TX,77071,"$244,000","4 bds, 3.0 ba ,3642 sqft","Van Slyke Real Estate, LLC",https://www.zillow.com/homedetails/8002-Harbor-Point-Dr-Houston-TX-77071/68408133_zpid/
House for sale,,Houston,TX,77071,"$314,500","4 bds, 2.0 ba ,2527 sqft",Champions Real Estate Group,https://www.zillow.com/homedetails/7922-Braesdale-Ln-Houston-TX-77071/28060650_zpid/
House for sale,,Houston,TX,77071,"$229,900","4 bds, 3.0 ba ,2244 sqft",RE/MAX Executives,https://www.zillow.com/homedetails/8503-Twin-Hills-Dr-Houston-TX-77071/28099483_zpid/
Townhouse for sale,,Houston,TX,77071,"$40,000","1 bds, 1.0 ba ,756 sqft","Annoura Realty Group, LLC",https://www.zillow.com/homedetails/10100-S-Gessner-Rd-APT-404-Houston-TX-77071/28409997_zpid/
Townhouse for sale,,Houston,TX,77071,"$40,000","1 bds, 1.0 ba ,684 sqft","Annoura Realty Group, LLC",https://www.zillow.com/homedetails/10100-S-Gessner-Rd-APT-713-Houston-TX-77071/28410048_zpid/
Townhouse for sale,,Houston,TX,77071,"$45,000","2 bds, 2.0 ba ,918 sqft","Annoura Realty Group, LLC",https://www.zillow.com/homedetails/10100-S-Gessner-Rd-APT-802-Houston-TX-77071/28410057_zpid/
Townhouse for sale,,Houston,TX,77071,"$40,000","1 bds, 1.0 ba ,684 sqft","Annoura Realty Group, LLC",https://www.zillow.com/homedetails/10100-S-Gessner-Rd-APT-206-Houston-TX-77071/28409971_zpid/
Townhouse for sale,,Houston,TX,77071,"$45,000","2 bds, 2.0 ba ,918 sqft","Annoura Realty Group, LLC",https://www.zillow.com/homedetails/10100-S-Gessner-Rd-APT-208-Houston-TX-77071/28409973_zpid/
Townhouse for sale,,Houston,TX,77071,"$45,000","2 bds, 2.0 ba ,918 sqft","Annoura Realty Group, LLC",https://www.zillow.com/homedetails/10100-S-Gessner-Rd-APT-201-Houston-TX-77071/28409966_zpid/
