title,city,state,postal_code,price,features,provider,url,address
House for sale,Houston,TX,77096,"$255,000 ","0 bds, 2.0 ba ,2304 sqft",The Kuper Group, 9906 Cliffwood Dr Houston TX 77096/28041595_zpid/, 9906 Cliffwood Dr Houston TX 
Townhouse for sale,Houston,TX,77042,"$149,900 ","2 bds, 3.0 ba ,1520 sqft",Century 21 Olympian Galleria, 9850 Pagewood Ln APT 1906 Houston TX 77042/28464988_zpid/, 9850 Pagewood Ln #1906 Houston TX 
Townhouse for sale,Houston,TX,77042,"$163,000 ","2 bds, 3.0 ba ,1520 sqft",REALM Real Estate Professional, 9800 Pagewood Ln APT 3505 Houston TX 77042/28491063_zpid/, 9800 Pagewood Ln #3505 Houston TX 
Townhouse for sale,Houston,TX,77042,"$155,000 ","2 bds, 3.0 ba ,1520 sqft","Coldwell Banker United,", 9800 Pagewood Ln APT 2704 Houston TX 77042/28491010_zpid/, 9800 Pagewood Ln #2704 Houston TX 
Townhouse for sale,Houston,TX,77099,"$65,000 ","2 bds, 2.0 ba ,1068 sqft",Champions Real Estate Group, 9797 Leawood Blvd APT 902 Houston TX 77099/28467938_zpid/, 9797 Leawood Blvd #902 Houston TX 
Townhouse for sale,Houston,TX,77099,"$65,900 ","2 bds, 2.0 ba ,1068 sqft",USA I Asset Group Corp, 9797 Leawood Blvd APT 206 Houston TX 77099/28467894_zpid/, 9797 Leawood Blvd #206 Houston TX 
Townhouse for sale,Houston,TX,77099,"$62,000 ","2 bds, 2.0 ba ,1068 sqft",Keller Williams Premier Realty, 9797 Leawood Blvd APT 1201 Houston TX 77099/28467961_zpid/, 9797 Leawood Blvd #1201 Houston TX 
House for sale,Houston,TX,77096,"$315,000 ","4 bds, 3.0 ba ,2389 sqft","Alta Realty Company, LLC", 9706 Oasis Dr Houston TX 77096/28062557_zpid/, 9706 Oasis Dr Houston TX 
Townhouse for sale,Houston,TX,77099,"$75,000 ","2 bds, 2.0 ba ,1068 sqft",NB Elite Realty, 9700 Leawood Blvd APT 1803 Houston TX 77099/28453725_zpid/, 9700 Leawood Blvd #1803 Houston TX 
House for sale,Houston,TX,77063,"$268,000 ","3 bds, 2.0 ba ,1873 sqft",AHP/Apt. Directions. Inc., 9663 Meadowvale Dr Houston TX 77063/28079406_zpid/, 9663 Meadowvale Dr Houston TX 
House for sale,Houston,TX,77063,"$369,000 ","3 bds, 3.0 ba ,2576 sqft",W Realty & Investment Group, 9655 Longmont Dr Houston TX 77063/28211563_zpid/, 9655 Longmont Dr Houston TX 
House for sale,Houston,TX,77063,"$299,000 ","4 bds, 2.0 ba ,1786 sqft",FYI Realty, 9651 Judalon Ln Houston TX 77063/28079444_zpid/, 9651 Judalon Ln Houston TX 
Townhouse for sale,Houston,TX,77063,"$475,000 ","3 bds, 3.0 ba ,2848 sqft",Realty Associates, 9634 Briar Forest Dr Houston TX 77063/28206542_zpid/, 9634 Briar Forest Dr Houston TX 
House for sale,Houston,TX,77063,"$199,900 ","4 bds, 2.0 ba ,1393 sqft",Martha Turner Sotheby's, 9627 Windswept Ln Houston TX 77063/28079509_zpid/, 9627 Windswept Ln Houston TX 
Townhouse for sale,Houston,TX,77063,"$99,000 ","2 bds, 2.0 ba ,1224 sqft",Walzel Properties, 9548 Pagewood Ln Houston TX 77063/2079680593_zpid/, 9548 Pagewood Ln Houston TX 
House for sale,Houston,TX,77063,"$309,500 ","3 bds, 2.0 ba ,1391 sqft",Keller Williams Realty, 9535 Winsome Ln Houston TX 77063/28019141_zpid/, 9535 Winsome Ln Houston TX 
House for sale,Houston,TX,77063,"$469,900 ","3 bds, 4.0 ba ,2709 sqft",Urban Access Properties, 9535 Bayou Brook St Houston TX 77063/28211666_zpid/, 9535 Bayou Brook St Houston TX 
House for sale,Houston,TX,77063,"$379,900 ","3 bds, 2.0 ba ,2732 sqft",RE/MAX Signature, 9519 Winsome Ln Houston TX 77063/28019145_zpid/, 9519 Winsome Ln Houston TX 
House for sale,Houston,TX,77031,"$217,500 ","3 bds, 2.0 ba ,1845 sqft",Texas Premier Realty, 9519 W Airport Blvd Houston TX 77031/28248041_zpid/, 9519 W Airport Blvd Houston TX 
House for sale,Houston,TX,77063,"$480,000 ","3 bds, 3.0 ba ,3404 sqft",Keller Williams Realty  SW, 9517 Bayou Brook St Houston TX 77063/28211690_zpid/, 9517 Bayou Brook St Houston TX 
House for sale,Houston,TX,77063,"$399,500 ","3 bds, 3.0 ba ,2468 sqft","Newland Realty, LLC", 9515 Winsome Ln Houston TX 77063/28019146_zpid/, 9515 Winsome Ln Houston TX 
House for sale,Houston,TX,77036,"$238,000 ","3 bds, 2.0 ba ,2064 sqft",Daytown International LLC, 9507 Langdon Ln Houston TX 77036/28072785_zpid/, 9507 Langdon Ln Houston TX 
House for sale,Houston,TX,77083,"$180,000 ","3 bds, 2.0 ba ,1399 sqft",Keller Williams Realty  SW, 9506 Saville Ct Houston TX 77083/27554118_zpid/, 9506 Saville Ct Houston TX 
House for sale,Houston,TX,77036,"$185,000 ","3 bds, 2.0 ba ,1949 sqft",JLA Realty, 9503 Oregano Cir Houston TX 77036/28307535_zpid/, 9503 Oregano Cir Houston TX 
House for sale,Houston,TX,77063,"$259,000 ","3 bds, 2.0 ba ,1377 sqft",Champions Real Estate Group, 9415 Beverlyhill St Houston TX 77063/28074996_zpid/, 9415 Beverlyhill St Houston TX 
Townhouse for sale,Houston,TX,77079,"$235,000 ","3 bds, 3.0 ba ,1852 sqft",Keller Williams Realty, 940 Wycliffe Dr APT 6 Houston TX 77079/2079412788_zpid/, 940 Wycliffe Dr #6 Houston TX 
