Neighborhood,Crime_Index
Clodine,2
Westheimer Pky / S Ferry Rd,2
Barker,3
Addicks,2
Briar Forest Dr / Eldridge Pky,2
Briar Forest Dr / Briar Home Dr,3
Fm 1093 / Addicks Clodine Rd,3
Addicks Howell Rd / Westheimer Rd,5
Westheimer Rd / Synott Rd,7
Synott Rd / Westpark Dr,3
Katy Fwy / Dairy Ashford St,4
Memorial Dr / Eldridge Pky,3
Briar Patch Rd / Briar Bayou Dr,6
Gentryside Dr / Whittington Dr,5
Westella Dr / S Dairy Ashford St,7
S Dairy Ashford St / Whittington Dr,5
S Dairy Ashford St / Skymeadow Dr,8
S Dairy Ashford St / Westheimer Rd,7
Old Westheimer Rd / Westpark Dr,2
Country Place Dr / Misty Meadow Ln,5
River Forest Dr / Dairy Ashford St,2
Carriage Hill Dr / Ashford Pky,2
Shadowbriar Dr / Overbrook Ln,4
Britoak Ln / Saint Marys Ln,2
Trail Hollow Dr / Wax Myrtle Ln,2
Wilcrest Dr / Hayes Rd,6
Westheimer Rd / S Kirkwood Rd,9
Royal Oaks Club Dr / Bonnebridge Way Blvd,8
Hayes Rd / Olympia Dr,8
Lakeside Forest Ln / Wilcrest Dr,5
Lakeside Estates Dr / Candlewood Dr,3
Citywest Blvd / Westheimer Rd,4
Walnut Bend Ln / Meadowglen Ln,9
Westpark Dr / W Sam Houston Pky S,10
Frostwood Dr / Katy Fwy,4
Memorial City Way / Barryknoll Ln,7
Memorial Dr / Litchfield Ln,2
Seagler Rd / Briar Forest Dr,3
Briarpark Dr / Westheimer Rd,8
Jeanetta,10
S Gessner Rd / Briar Forest Dr,8
Fondren Rd / S Piney Point Rd,8
Rockyridge Dr / Westheimer Rd,8
Woodway Dr / Lazy Hollow Dr,9
S Voss Rd / Westheimer Rd,6
Westheimer Rd / Crossview Dr,8
Westpark Dr / Crossview Dr,7
Memorial Dr / N Post Oak Rd,6
Woodway Dr / S Voss Rd,4
Potomac Dr / San Felipe St,5
Bering Dr / Woodway Dr,7
S Post Oak Ln / Woodway Dr,4
Winrock Blvd / Westheimer Rd,10
Nantucket Dr / Westheimer Rd,5
Augusta Dr / Burgoyne Rd,9
Chimney Rock Rd / Westheimer Rd,8
Chimney Rock Rd / Del Monte Dr,6
San Felipe St / W Loop S,8
Greenridge Dr / Fairdale Ln,10
Westpark Dr / Hillcroft St,10
Lamar Terrace,9
Chimney Rock Rd / Beverlyhill St,8
Mccue Rd / Westheimer Rd,9
San Felipe St / Post Oak Park Dr,8
Inwood Dr / Kirby Dr,4
San Felipe St / Kirby Dr,5
S Shepherd Dr / Inwood Dr,4
Mcduffie St / Peden St,6
Westheimer Rd / Midlane St,4
Weslayan St / Westheimer Rd,9
Edloe St / W Alabama St,7
S Shepherd Dr / Westheimer Rd,6
Hazard St / W Alabama St,6
Mission Bend,3
Clodine Reddick Rd / Beechnut Blvd,2
